attempt,timeLapsed,x,y,z,,vel,roc,,,,,,
2,73,0,92.4829245615,0,,-2.8441435323,0.0219563109,1.0204081434,,,,,
2,74,0,89.6172638441,0,,-2.8656607174,0.0215171851,1.0204081434,,,,,
2,75,0,86.7305162848,0,,-2.8867475593,0.0210868418,1.0204081434,,,,,
2,76,0,83.8231036202,0,,-2.9074126647,0.0206651054,1.0204081434,,,,,
2,77,0,80.8954391518,0,,-2.9276644684,0.0202518037,1.0204081434,,,,,
2,78,0,77.9479279155,0,,-2.9475112364,0.019846768,1.0204081434,,,,,
2,79,0,74.9809668461,0,,-2.9669610694,0.019449833,1.0204081434,,,,,
2,80,0,71.99494494,0,,-2.9860219061,0.0190608367,1.0204081434,,,,,
2,81,0,68.9902434135,0,,-3.0047015265,0.0186796204,1.0204081434,,,,,
2,82,0,65.9672358588,0,,-3.0230075548,0.0183060283,1.0204081434,,,,,
2,83,0,62.9262883959,0,,-3.0409474629,0.0179399081,1.0204081434,,,,,
2,84,0,59.8677598228,0,,-3.0585285731,0.0175811103,1.0204081434,,,,,
2,85,0,56.7920017613,0,,-3.0757580615,0.0172294884,1.0204081434,,,,,
2,86,0,53.6993588008,0,,-3.0926429605,0.016884899,1.0204081434,,,,,
2,87,0,50.590168639,0,,-3.1091901618,0.0165472013,1.0204081434,,,,,
2,88,0,47.4647622196,0,,-3.1254064194,0.0162162576,1.0204081434,,,,,
2,89,0,44.3234638675,0,,-3.1412983521,0.0158919328,1.0204081434,,,,,
2,90,0,41.1665914209,0,,-3.1568724465,0.0155740944,1.0204081434,,,,,
2,91,0,37.9944563616,0,,-3.1721350593,0.0152626128,1.0204081434,,,,,
2,92,0,34.8073639414,0,,-3.1870924202,0.0149573608,1.0204081434,,,,,
2,93,0,31.6056133073,0,,-3.2017506341,0.0146582139,1.0204081434,,,,,
2,94,0,28.3894976233,0,,-3.216115684,0.0143650499,1.0204081434,,,,,
2,95,0,25.1593041901,0,,-3.2301934332,0.0140777492,1.0204081434,,,,,
2,96,0,21.9153145624,0,,-3.2439896277,0.0137961945,1.0204081434,,,,,
2,97,0,18.6578046639,0,,-3.2575098985,0.0135202708,1.0204081434,,,,,
2,98,0,15.3870448997,0,,-3.2707597642,0.0132498657,1.0204081434,,,,,
2,99,0,12.1033002669,0,,-3.2837446328,0.0129848686,1.0204081434,,,,,
2,100,0,8.8068304625,0,,-3.2964698043,0.0127251715,1.0204081434,,,,,
2,101,0,5.4978899899,0,,-3.3089404726,0.0124706683,1.0204081434,,,,,
3,6,0,204,0,,,,,,,,,
3,7,0,203.9215999985,0,,,,,,,,,
3,8,0,203.766367994,0,,,,,,,,,
3,9,0,203.535840625,0,,,,,,,,,
3,10,0,203.2315237976,0,,,,,,,,,
3,11,0,202.8548932993,0,,,,,,,,,
3,12,0,202.4073954024,0,,,,,,,,,
3,13,0,201.8904474533,0,,,,,,,,,
3,14,0,201.3054384518,0,,,,,,,,,
3,15,0,200.6537296176,0,,,,,,,,,
3,16,0,199.9366549462,0,,,,,,,,,
3,17,0,199.1555217529,0,,,,,,,,,
3,18,0,198.3116112072,0,,,,,,,,,
3,19,0,197.4061788547,0,,,,,,,,,
3,20,0,196.4404551305,0,,,,,,,,,
3,21,0,195.4156458608,0,,,,,,,,,
3,22,0,194.3329327554,0,,,,,,,,,
3,23,0,193.19347389,0,,,,,,,,,
3,24,0,191.9984041786,0,,,,,,,,,
3,25,0,190.7488358371,0,,,,,,,,,
3,26,0,189.4458588371,0,,,,,,,,,
3,27,0,188.0905413507,0,,,,,,,,,
3,28,0,186.6839301867,0,,,,,,,,,
3,29,0,185.2270512176,0,,,,,,,,,
3,30,0,183.7209097986,0,,,,,,,,,
3,31,0,182.1664911777,0,,,,,,,,,
3,32,0,180.564760898,0,,,,,,,,,
3,33,0,178.9166651918,0,,,,,,,,,
3,34,0,177.2231313668,0,,,,,,,,,
3,35,0,175.4850681845,0,,,,,,,,,
3,36,0,173.7033662312,0,,,,,,,,,
3,37,0,171.8788982814,0,,,,,,,,,
3,38,0,170.0125196543,0,,,,,,,,,
3,39,0,168.1050685626,0,,,,,,,,,
3,40,0,166.1573664548,0,,,,,,,,,
3,41,0,164.1702183505,0,,,,,,,,,
3,42,0,162.1444131689,0,,,,,,,,,
3,43,0,160.0807240507,0,,,,,,,,,
3,44,0,157.979908674,0,,,,,,,,,
3,45,0,155.8427095633,0,,,,,,,,,
3,46,0,153.6698543924,0,,,,,,,,,
3,47,0,151.4620562821,0,,,,,,,,,
3,48,0,149.2200140902,0,,,,,,,,,
3,49,0,146.944412698,0,,,,,,,,,
3,50,0,144.6359232886,0,,,,,,,,,
3,51,0,142.2952036219,0,,,,,,,,,
3,52,0,139.9228983024,0,,,,,,,,,
3,53,0,137.5196390424,0,,,,,,,,,
3,54,0,135.0860449203,0,,,,,,,,,
3,55,0,132.6227226327,0,,,,,,,,,
3,56,0,130.1302667424,0,,,,,,,,,
3,57,0,127.6092599207,0,,,,,,,,,
3,58,0,125.0602731859,0,,,,,,,,,
3,59,0,122.4838661357,0,,,,,,,,,
3,60,0,119.8805871758,0,,,,,,,,,
3,61,0,117.2509737439,0,,,,,,,,,
3,62,0,114.595552529,0,,,,,,,,,
3,63,0,111.9148396862,0,,,,,,,,,
3,64,0,109.2093410475,0,,,,,,,,,
3,65,0,106.4795523286,0,,,,,,,,,
3,66,0,103.7259593304,0,,,,,,,,,
3,67,0,100.9490381381,0,,,,,,,,,
3,68,0,98.1492553152,0,,,,,,,,,
3,69,0,95.3270680939,0,,,,,,,,,
3,70,0,92.4829245615,0,,,,,,,,,
3,71,0,89.6172638441,0,,,,,,,,,
3,72,0,86.7305162848,0,,,,,,,,,
3,73,0,83.8231036202,0,,,,,,,,,
3,74,0,80.8954391518,0,,,,,,,,,
3,75,0,77.9479279155,0,,,,,,,,,
3,76,0,74.9809668461,0,,,,,,,,,
3,77,0,71.99494494,0,,,,,,,,,
3,78,0,68.9902434135,0,,,,,,,,,
3,79,0,65.9672358588,0,,,,,,,,,
3,80,0,62.9262883959,0,,,,,,,,,
3,80,0,59.8677598228,0,,,,,,,,,
3,81,0,56.7920017613,0,,,,,,,,,
3,82,0,53.6993588008,0,,,,,,,,,
3,83,0,50.590168639,0,,,,,,,,,
3,85,0,47.4647622196,0,,,,,,,,,
3,86,0,44.3234638675,0,,,,,,,,,
3,87,0,41.1665914209,0,,,,,,,,,
3,88,0,37.9944563616,0,,,,,,,,,
3,89,0,34.8073639414,0,,,,,,,,,
3,90,0,31.6056133073,0,,,,,,,,,
3,91,0,28.3894976233,0,,,,,,,,,
3,92,0,25.1593041901,0,,,,,,,,,
3,93,0,21.9153145624,0,,,,,,,,,
3,94,0,18.6578046639,0,,,,,,,,,
3,95,0,15.3870448997,0,,,,,,,,,
3,96,0,12.1033002669,0,,,,,,,,,
3,97,0,8.8068304625,0,,,,,,,,,
3,98,0,5.4978899899,0,,,,,,,,,
