"Zero initial velocity from 204 high"
timeLapsed,x,y,z

5.0,0.0,204.0,0.0
6.0,0.0,203.9215999984741,0.0
7.0,0.0,203.76636799395752,0.0
8.0,0.0,203.53584062504456,0.0
9.0,0.0,203.23152379758702,0.0
10.0,0.0,202.85489329934836,0.0
11.0,0.0,202.40739540236495,0.0
12.0,0.0,201.89044745325998,0.0
13.0,0.0,201.30543845175123,0.0
14.0,0.0,200.65372961758862,0.0
15.0,0.0,199.93665494615303,0.0
16.0,0.0,199.15552175294314,0.0
17.0,0.0,198.31161120717263,0.0
18.0,0.0,197.40617885469536,0.0
19.0,0.0,196.44045513047197,0.0
20.0,0.0,195.41564586078746,0.0
21.0,0.0,194.33293275542408,0.0
22.0,0.0,193.193473889991,0.0
23.0,0.0,191.99840417860722,0.0
24.0,0.0,190.7488358371311,0.0
25.0,0.0,189.445858837125,0.0
26.0,0.0,188.09054135074084,0.0
27.0,0.0,186.68393018670784,0.0
28.0,0.0,185.22705121760066,0.0
29.0,0.0,183.72090979856196,0.0
30.0,0.0,182.1664911776508,0.0
31.0,0.0,180.5647608979838,0.0
32.0,0.0,178.9166651918337,0.0
33.0,0.0,177.22313136684576,0.0
34.0,0.0,175.48506818453012,0.0
35.0,0.0,173.703366231184,0.0
36.0,0.0,171.87889828139564,0.0
37.0,0.0,170.0125196542782,0.0
38.0,0.0,168.1050685625789,0.0
39.0,0.0,166.15736645480595,0.0
40.0,0.0,164.17021835051312,0.0
41.0,0.0,162.14441316887843,0.0
42.0,0.0,160.08072405071138,0.0
43.0,0.0,157.97990867402004,0.0
44.0,0.0,155.84270956326677,0.0
45.0,0.0,153.66985439243885,0.0
46.0,0.0,151.4620562820577,0.0
47.0,0.0,149.22001409024787,0.0
48.0,0.0,146.9444126979848,0.0
49.0,0.0,144.63592328863746,0.0
50.0,0.0,142.29520362192025,0.0
51.0,0.0,139.92289830236584,0.0
52.0,0.0,137.51963904242848,0.0
53.0,0.0,135.08604492032546,0.0
54.0,0.0,132.62272263272152,0.0
55.0,0.0,130.13026674235962,0.0
56.0,0.0,127.60925992073926,0.0
57.0,0.0,125.06027318594104,0.0
58.0,0.0,122.48386613569484,0.0
59.0,0.0,119.88058717578662,0.0
60.0,0.0,117.25097374389708,0.0
61.0,0.0,114.59555252896355,0.0
62.0,0.0,111.91483968615468,0.0
63.0,0.0,109.20934104754556,0.0
64.0,0.0,106.47955232857946,0.0
65.0,0.0,103.7259593304002,0.0
66.0,0.0,100.94903813813804,0.0
67.0,0.0,98.14925531522967,0.0
68.0,0.0,95.32706809385196,0.0
69.0,0.0,92.482924561547,0.0
70.0,0.0,89.6172638441145,0.0
71.0,0.0,86.73051628484664,0.0
72.0,0.0,83.82310362017793,0.0
73.0,0.0,80.89543915182222,0.0
74.0,0.0,77.94792791546696,0.0
75.0,0.0,74.98096684609362,0.0
76.0,0.0,71.99494493999158,0.0
77.0,0.0,68.99024341353186,0.0
78.0,0.0,65.9672358587653,0.0
79.0,0.0,62.92628839590892,0.0
80.0,0.0,59.86775982278231,0.0
81.0,0.0,56.792001761255555,0.0
82.0,0.0,53.699358800768024,0.0
83.0,0.0,50.590168638976884,0.0
84.0,0.0,47.464762219592586,0.0
85.0,0.0,44.323463867457704,0.0
86.0,0.0,41.16659142092413,0.0
87.0,0.0,37.99445636158278,0.0
88.0,0.0,34.807363941398705,0.0
89.0,0.0,31.605613307303468,0.0
90.0,0.0,28.38949762329571,0.0
91.0,0.0,25.15930419009969,0.0
92.0,0.0,21.91531456243066,0.0
93.0,0.0,18.657804663914938,0.0
94.0,0.0,15.387044899711583,0.0
95.0,0.0,12.103300266881625,0.0
96.0,0.0,8.806830462549929,0.0
97.0,0.0,5.4978899899038165,0.0
