"Vector(0,2,1).normalize().multiply(3.0) = End vector:0.0,2.6832815729997477,1.3416407864998738"
timeLapsed,x,y,z

3.0,0.0,4.0,0.0
4.0,0.0,6.68325,1.341625
5.0,0.0,9.234435049653055,2.0741523350849747
6.0,0.0,11.656196445447161,2.7407522292235957
7.0,0.0,13.95112265799094,3.3473581503720187
8.0,0.0,16.121750388530206,3.899369554525957
9.0,0.0,18.170565604334247,4.401699946783116
10.0,0.0,20.100004553374376,4.858820616911269
11.0,0.0,21.912454758708954,5.274800438716356
12.0,0.0,23.610255992980704,5.65334208746849
13.0,0.0,25.195701233424128,5.997814997760581
14.0,0.0,26.671037597772774,6.311285355160546
15.0,0.0,28.038467261448375,6.5965433886156015
16.0,0.0,29.300148356406236,6.856128206540892
17.0,0.0,30.45819585200372,7.0923503976607885
18.0,0.0,31.514682418251375,7.307312597775068
19.0,0.0,32.471639271799084,7.50292820551667
20.0,0.0,33.331057005002464,7.680938413691752
21.0,0.0,34.094886398407986,7.84292770779958
22.0,0.0,34.76503921698841,7.990337969686042
23.0,0.0,35.3433889904535,8.12448131186871
24.0,0.0,35.83177177795455,8.246551756772988
25.0,0.0,36.231986917494865,8.357635864837304
26.0,0.0,36.545797760351995,8.458722406089128
27.0,0.0,36.77493239081157,8.55071116127939
28.0,0.0,36.92108433150647,8.634420930915027
29.0,0.0,36.98591323464922,8.710596823478834
30.0,0.0,36.971045559439744,8.77991688770969
31.0,0.0,36.878075235925,8.842998147977761
32.0,0.0,36.70856431558141,8.900402096476078
33.0,0.0,36.464043608885646,8.952639691115024
34.0,0.0,36.14601331013406,9.00017590360645
35.0,0.0,35.75594360976567,9.043433858220336
36.0,0.0,35.29527529443879,9.082798598053456
37.0,0.0,34.765420335106015,9.118620512333976
38.0,0.0,34.16776246332783,9.151218455268717
39.0,0.0,33.50365773605992,9.180882584194247
40.0,0.0,32.774435089144696,9.207876942294451
41.0,0.0,31.981396879733076,9.232441808873592
42.0,0.0,31.125819417857805,9.25479583810485
43.0,0.0,30.208953487375318,9.275138005291552
44.0,0.0,29.23202485648877,9.293649377964947
45.0,0.0,28.196234778060642,9.310494727583215
46.0,0.0,27.10276047991907,9.325823996177627
47.0,0.0,25.95275564535808,9.339773631000567
48.0,0.0,24.74735088402783,9.352467799055287
49.0,0.0,23.487654193407035,9.364019492317999
50.0,0.0,22.17475141104597,9.374531533490023
51.0,0.0,20.809706657764615,9.384097491232254
52.0,0.0,19.393562771986844,9.392802513028562
53.0,0.0,17.927341735387948,9.400724083091498
54.0,0.0,16.412045090029206,9.407932712056523
55.0,0.0,14.848654347149768,9.41449256460375
56.0,0.0,13.23813138778273,9.420462030593765
57.0,0.0,11.581418855358864,9.425894244801233
58.0,0.0,9.879440540458313,9.425894244801233
59.0,0.0,8.133101757867234,9.425894244801233
60.0,0.0,6.343289716093329,9.425894244801233
61.0,0.0,4.510873879491068,9.425894244801233
